country,NO&T energy poverty alleviation,NO&T natural gas transmission,NO&T Natural gas prices,NO&T Renewable energy development,NO&T EU Energy Poverty,NO&T National energy infrastructure,NO&T National Grid Development,P&M energy poverty alleviation,P&M natural gas transmission,P&M Natural gas prices,P&M Renewable energy development,P&M EU Energy Poverty,P&M National energy infrastructure,P&M National Grid Development,CS&RP energy poverty alleviation,CS&RP natural gas transmission,CS&RP Natural gas prices,CS&RP Renewable energy development,CS&RP EU Energy Poverty,CS&RP National energy infrastructure,CS&RP National Grid Development,c1,c2,u1,u2
France,0.1609999984502792,0.0975999981164932,0.1128999963402748,0.2365999966859817,0.1238999962806701,0.1356000006198883,0.1324000060558319,0.1834000051021576,0.063400000333786,0.0860000029206276,0.3885000050067901,0.0802000015974044,0.1208000034093856,0.0776999965310096,0.0170000009238719,0.0262000001966953,0.0232999995350837,0.8924000263214111,0.0105999996885657,0.0121999997645616,0.0182000007480382,16.386541,-5.0520506,0.12930696,-9.171346
Malta,0.0740000009536743,0.0926000028848648,0.0850000008940696,0.1743000000715255,0.1544000059366226,0.3009999990463257,0.1187999993562698,0.2275000065565109,0.0681999996304512,0.0648000016808509,0.131300002336502,0.0921000018715858,0.3082999885082245,0.1077999994158744,0.093699999153614,0.1633999943733215,0.1401000022888183,0.1154000014066696,0.0949999988079071,0.1474000066518783,0.2450000047683715,0.57551676,-13.323168,14.97288,-11.668763
Luxembourg,0.246299996972084,0.1013000011444091,0.1001999974250793,0.1510999947786331,0.1280999928712844,0.097300000488758,0.1756999939680099,0.3486000001430511,0.065200001001358,0.0515000000596046,0.1823000013828277,0.1282999962568283,0.1152999997138977,0.1088000014424324,0.0855000019073486,0.2014999985694885,0.1315000057220459,0.1168999969959259,0.088699996471405,0.0920000001788139,0.2838999927043915,2.2696977,-7.2683897,14.669339,-11.178515
Lithuania,0.1089999973773956,0.0653000026941299,0.325899988412857,0.065200001001358,0.1627999991178512,0.1542000025510788,0.1176000013947486,0.0979999974370002,0.0916000008583068,0.1961999982595443,0.1342000067234039,0.0452999994158744,0.4009999930858612,0.0337999984622001,0.0392999984323978,0.1437000036239624,0.6123999953269958,0.0487999990582466,0.0331999994814395,0.0476000010967254,0.0750000029802322,6.628313,-25.581133,-0.84300244,-2.0253353
Latvia,0.1070000007748603,0.0914999991655349,0.3722000122070312,0.1180000007152557,0.1106000021100044,0.1093000024557113,0.0913000032305717,0.2924999892711639,0.0847000032663345,0.2469000071287155,0.1190999969840049,0.0921000018715858,0.1053000018000602,0.0595000013709068,0.0284000001847744,0.0288999993354082,0.8410999774932861,0.0297999996691942,0.0208000000566244,0.0209999997168779,0.0300999991595745,13.258251,-26.064484,-0.24031316,-9.732082
Italy,0.1083000004291534,0.0401000007987022,0.0373999997973442,0.4007000029087066,0.2405000030994415,0.0720999985933303,0.1008000001311302,0.2072000056505203,0.0251000002026557,0.025399999693036,0.6061000227928162,0.0441999994218349,0.0649999976158142,0.0271000005304813,0.0480000004172325,0.3185999989509582,0.0659999996423721,0.1772000044584274,0.0597999989986419,0.0513999983668327,0.2791000008583069,9.514322,-2.483708,0.73546755,-6.8256245
Ireland,0.0529999993741512,0.0302000008523464,0.0283000003546476,0.0608000010251998,0.0896999984979629,0.6879000067710876,0.0502000004053115,0.0907000005245208,0.0243999995291233,0.0225000008940696,0.0472999997437,0.0384999997913837,0.7469000220298767,0.0296999998390674,0.0337000004947185,0.0465000011026859,0.0410000011324882,0.0406000018119812,0.0364000014960765,0.0494000017642974,0.7524999976158142,-11.446907,-15.460832,16.599936,-11.0425825
Hungary,0.0824000015854835,0.2675000131130218,0.0469999983906745,0.0834000036120414,0.3059999942779541,0.1638000011444091,0.0498999990522861,0.1096000000834465,0.0838999971747398,0.036200001835823,0.0684999972581863,0.5940999984741211,0.0733999982476234,0.0342000015079975,0.0230000000447034,0.84170001745224,0.0226000007241964,0.0353999994695186,0.023199999704957,0.0208999998867511,0.0331000015139579,2.095331,18.65513,14.950259,-11.042085
Spain,0.1888999938964843,0.0820000022649765,0.2073000073432922,0.1481000036001205,0.1459999978542328,0.1181000024080276,0.1096000000834465,0.6061999797821045,0.0383000001311302,0.0887999981641769,0.0873000025749206,0.0631000027060508,0.0697999969124794,0.0465000011026859,0.0377999991178512,0.2022999972105026,0.5857999920845032,0.063799999654293,0.0220999997109174,0.0278999991714954,0.0603000000119209,15.899748,-19.83138,0.06668534,-9.56258
Netherlands,0.1814000010490417,0.0467000007629394,0.0540000014007091,0.147499993443489,0.0829000025987625,0.1729000061750412,0.3145000040531158,0.2786999940872192,0.050900001078844,0.0579999983310699,0.1128999963402748,0.0870999991893768,0.1309999972581863,0.2813999950885772,0.0285999998450279,0.0522999987006187,0.0427000001072883,0.0309999994933605,0.0287999995052814,0.0252999998629093,0.7911999821662903,-6.147457,-6.7049556,16.799923,-11.628971
Poland,0.0597999989986419,0.1106000021100044,0.0639000013470649,0.0738999992609024,0.1071999967098236,0.5087000131607056,0.0759000033140182,0.0401000007987022,0.0461000017821788,0.0373999997973442,0.0392999984323978,0.0408000014722347,0.7670000195503235,0.0294000003486871,0.0283000003546476,0.2408999949693679,0.0680999979376792,0.0373000018298625,0.0211999993771314,0.031599998474121,0.5724999904632568,-9.200181,-18.705498,16.538235,-11.350009
Portugal,0.2605000138282776,0.062899999320507,0.0907000005245208,0.1026000007987022,0.2472999989986419,0.1817999929189682,0.0542000010609626,0.6259999871253967,0.0337000004947185,0.0549999997019767,0.0568000003695488,0.1018999963998794,0.093199998140335,0.0331999994814395,0.0767000019550323,0.1572999954223632,0.5023999810218811,0.090999998152256,0.0401000007987022,0.0456000007688999,0.0868000015616417,14.644463,-16.26925,-0.22163866,-9.280025
Romania,0.0841000005602836,0.1050999984145164,0.0724999979138374,0.0720999985933303,0.4758000075817108,0.1027999967336654,0.0877000018954277,0.1736000031232834,0.0763999968767166,0.0342999994754791,0.048700001090765,0.5572999715805054,0.0758000016212463,0.0337999984622001,0.0318000018596649,0.7764000296592712,0.0302000008523464,0.0287999995052814,0.0597000010311603,0.0394000001251697,0.0337999984622001,5.7468624,16.855694,-0.6127957,-1.5826627
Sweden,0.0776999965310096,0.0658000037074089,0.2161000072956085,0.0957999974489212,0.326200008392334,0.1266999989748001,0.0917999967932701,0.1696999967098236,0.046399999409914,0.0974999964237213,0.097300000488758,0.17739999294281,0.2962000072002411,0.1154000014066696,0.0504000000655651,0.1019999980926513,0.3001999855041504,0.0900000035762786,0.0522999987006187,0.0625,0.3425000011920929,4.711341,-15.711548,-0.15540238,-1.0118932
Slovenia,0.2046000063419342,0.2520999908447265,0.0674000009894371,0.1615000069141388,0.1270000040531158,0.1124000027775764,0.0750000029802322,0.2533000111579895,0.137700006365776,0.067900002002716,0.1710000038146972,0.1601999998092651,0.1247000023722648,0.0851000025868415,0.0515000000596046,0.6890000104904175,0.0355999991297721,0.0934000015258789,0.0335999988019466,0.0436000004410743,0.0533000007271766,4.886624,7.048912,-0.730123,-0.90071464
Slovakia,0.0379999987781047,0.068400003015995,0.0331000015139579,0.0480000004172325,0.7451000213623047,0.0395999997854232,0.0277999993413686,0.3107999861240387,0.0489999987185001,0.0588000006973743,0.0766000002622604,0.3233999907970428,0.1340000033378601,0.0472999997437,0.0480000004172325,0.6513000130653381,0.0493000000715255,0.064699999988079,0.0822999998927116,0.0509999990463256,0.0533999986946582,9.819621,15.080351,0.35580623,-6.616768
