country,"NO&T energy production, increase import",NO&T EU oil development,NO&T energy policy,NO&T Renewable energy development,NO&T Gas supply development,"P&M energy production, increase import",P&M EU oil development,P&M energy policy,P&M Renewable energy development,P&M Gas supply development,"CS&RP energy production, increase import",CS&RP EU oil development,CS&RP energy policy,CS&RP Renewable energy development,CS&RP Gas supply development,c1,c2,u1,u2
Ireland,0.1753000020980835,0.2531999945640564,0.1807000041007995,0.1897999942302703,0.2009000033140182,0.1684000045061111,0.2626999914646148,0.176499992609024,0.1887000054121017,0.2037000060081482,0.288100004196167,0.1706999987363815,0.2002999931573867,0.1777999997138977,0.1632000058889389,-10.015138,-21.906858,8.474393,7.4780993
Hungary,0.1684000045061111,0.1508000046014785,0.1763000041246414,0.3251000046730041,0.1793999969959259,0.0754999965429306,0.0856999978423118,0.0878999978303909,0.626800000667572,0.1240999996662139,0.3283999860286712,0.1347000002861023,0.1922000050544738,0.2030999958515167,0.1416999995708465,16.59136,-15.596922,2.120283,-0.9172547
Spain,0.2128999978303909,0.2002999931573867,0.2064000070095062,0.1924999952316284,0.1878000050783157,0.1305000036954879,0.2860000133514404,0.155799999833107,0.2044000029563903,0.2232999950647354,0.2348999977111816,0.1970999985933303,0.1997999995946884,0.1886000037193298,0.1796000003814697,-5.1528554,1.4540155,7.3609567,8.48997
Netherlands,0.2208999991416931,0.181999996304512,0.2091999948024749,0.1995999962091446,0.1882999986410141,0.1958999931812286,0.2001000046730041,0.2005999982357025,0.2001000046730041,0.2034000009298324,0.2989999949932098,0.1545999944210052,0.2110999971628189,0.1809999942779541,0.1543000042438507,15.271693,-7.3439116,1.7946416,-1.1858801
Poland,0.2106000036001205,0.1703999936580658,0.2488999962806701,0.1888999938964843,0.1811999976634979,0.121299996972084,0.1446000039577484,0.3230000138282776,0.1823000013828277,0.2287999987602234,0.5321999788284302,0.0908999964594841,0.1764000058174133,0.1076999977231025,0.092799998819828,3.2583358,-35.460464,-0.02423217,-1.0733345
Portugal,0.2057999968528747,0.1995999962091446,0.2079000025987625,0.1992000043392181,0.1875,0.1444000005722046,0.2413000017404556,0.1807000041007995,0.2113000005483627,0.2222999930381775,0.2741999924182892,0.1888999938964843,0.1968999952077865,0.1740999966859817,0.1659000068902969,-1.5462838,-18.339193,7.1932817,10.371552
Romania,0.1968999952077865,0.2001000046730041,0.2116000056266784,0.1993999928236007,0.1921000033617019,0.1513999998569488,0.2434999942779541,0.2254000008106231,0.193800002336502,0.1859000027179718,0.2328999936580658,0.1931000053882599,0.2061000019311905,0.183799996972084,0.1840000003576278,4.2382565,-14.530937,0.36145437,-1.0949486
Sweden,0.1806000024080276,0.2254000008106231,0.1926999986171722,0.1918999999761581,0.2093999981880188,0.1587000042200088,0.2469999939203262,0.1743000000715255,0.1869000047445297,0.2329999953508377,0.277999997138977,0.166700005531311,0.2155999988317489,0.1791000068187713,0.1606000065803527,-8.404247,-17.34473,8.127774,7.4406977
Slovenia,0.2328999936580658,0.185599997639656,0.194700002670288,0.2047999948263168,0.1818999946117401,0.1994999945163726,0.2002999931573867,0.1995999962091446,0.1991000026464462,0.2014999985694885,0.4537999927997589,0.1307999938726425,0.1497000008821487,0.1378999948501587,0.1278000026941299,-0.96811765,-32.44181,7.647894,10.632111
Slovakia,0.1089000031352043,0.1826000064611435,0.1485999971628189,0.1589999943971634,0.4009000062942505,0.1684000045061111,0.2124000042676925,0.1926999986171722,0.2017000019550323,0.2248000055551529,0.2241999953985214,0.1858000010251999,0.2229000031948089,0.1824000030755996,0.18469999730587,-16.204096,3.5305772,8.191168,6.5776453
