country,NO&T Renewable energy sources,NO&T Innovation research support.,NO&T National climate plan.,NO&T Electricity sector subsidies,P&M Renewable energy sources,P&M Innovation research support.,P&M National climate plan.,P&M Electricity sector subsidies,CS&RP Renewable energy sources,CS&RP Innovation research support.,CS&RP National climate plan.,CS&RP Electricity sector subsidies,c1,c2,u1,u2
France,0.1307999938726425,0.400299996137619,0.3188999891281128,0.1500000059604644,0.1288000047206878,0.5468999743461609,0.2078000009059906,0.1164999976754188,0.2311999946832656,0.2764999866485595,0.2617999911308288,0.2304999977350235,8.008509,1.0784701,8.110131,22.157925
Malta,0.2267999947071075,0.277099996805191,0.2513000071048736,0.2448000013828277,0.2120999991893768,0.302700012922287,0.2608999907970428,0.2241999953985214,0.2430000007152557,0.2009000033140182,0.1881999969482422,0.367900013923645,4.0662513,3.0880704,8.283667,18.216328
Luxembourg,0.2282000035047531,0.2896000146865845,0.2617999911308288,0.2205000072717666,0.1814000010490417,0.3131999969482422,0.3307999968528747,0.1746000051498413,0.2427999973297119,0.2362000048160553,0.2324000000953674,0.2885999977588653,6.119838,3.4213917,8.625534,21.313934
Lithuania,0.2184000015258789,0.3000999987125397,0.2940999865531921,0.1873999983072281,0.2082999944686889,0.300599992275238,0.276199996471405,0.2149000018835067,0.244499996304512,0.1826999932527542,0.1652999967336654,0.4075999855995178,3.0238128,3.28611,10.265692,6.722578
Latvia,0.2379000037908554,0.2782000005245209,0.2518999874591827,0.231900006532669,0.2060000002384185,0.3301999866962433,0.2770000100135803,0.1868000030517578,0.2375999987125396,0.2820000052452087,0.2436999976634979,0.2366999983787536,6.8187304,2.4473023,8.465037,21.980606
Italy,0.1833000034093856,0.2802000045776367,0.3582000136375427,0.178299993276596,0.1530999988317489,0.3197000026702881,0.2741000056266784,0.2531999945640564,0.1326999962329864,0.097800001502037,0.0961999967694282,0.6733999848365784,-0.6381561,4.702428,8.204285,6.5763617
Ireland,0.2052000015974044,0.2576999962329864,0.2865000069141388,0.2504999935626983,0.1651999950408935,0.257099986076355,0.3628000020980835,0.2149000018835067,0.2606000006198883,0.1150000020861625,0.1200999990105629,0.5042999982833862,1.7681855,5.5406585,9.269626,6.0126114
Hungary,0.2416000068187713,0.2538999915122986,0.2608999907970428,0.243599995970726,0.2178999930620193,0.3206000030040741,0.2906999886035919,0.1706999987363815,0.3790000081062317,0.1263999938964843,0.1266999989748001,0.3677999973297119,2.528264,0.8518195,9.840441,6.425468
Spain,0.1624000072479248,0.2556999921798706,0.4571999907493591,0.1247000023722648,0.0857999995350837,0.1747999936342239,0.650600016117096,0.0887999981641769,0.225600004196167,0.2094999998807907,0.2000000029802322,0.36489999294281,4.897585,8.606754,8.661104,19.881067
Netherlands,0.1726000010967254,0.193900004029274,0.4968000054359436,0.1366000026464462,0.1457999944686889,0.1163000017404556,0.6384999752044678,0.0993999987840652,0.5644000172615051,0.0940999984741211,0.0996999964118003,0.241799995303154,6.618139,8.804017,8.707854,21.876
Poland,0.2811000049114227,0.2739999890327453,0.2569999992847442,0.1879000067710876,0.3928999900817871,0.277999997138977,0.1995999962091446,0.12950000166893,0.8420000076293945,0.0588000006973743,0.0516000017523765,0.0474999994039535,2.2904768,-0.88495815,9.95318,6.2680273
Portugal,0.2069000005722046,0.2955000102519989,0.278899997472763,0.2187000066041946,0.1620000004768371,0.3472000062465668,0.3104999959468841,0.1802999973297119,0.2446999996900558,0.1404000073671341,0.1392000019550323,0.4756999909877777,1.5816853,4.280319,8.832713,5.7837477
Romania,0.2207999974489212,0.2842999994754791,0.2601000070571899,0.2347999960184097,0.2039999961853027,0.321399986743927,0.2806999981403351,0.193900004029274,0.2446999996900558,0.238999992609024,0.2151000052690506,0.3012000024318695,5.72958,2.1583807,9.126937,20.922707
Sweden,0.2231000065803527,0.2757000029087066,0.2685999870300293,0.2326000034809112,0.1361999958753585,0.3319000005722046,0.3860999941825866,0.1457999944686889,0.2296999990940094,0.2016000002622604,0.2082999944686889,0.36039999127388,5.3828216,4.4847374,8.634254,20.651577
Slovenia,0.1976000070571899,0.3131999969482422,0.2955000102519989,0.1937000006437301,0.1859000027179718,0.3160000145435333,0.2958999872207641,0.2021999955177307,0.3643999993801117,0.1662999987602234,0.135900005698204,0.3334999978542328,3.6274767,0.8579893,7.8854113,17.856365
Slovakia,0.2685000002384186,0.2450000047683715,0.1994999945163726,0.2870999872684479,0.2472999989986419,0.2827000021934509,0.2387000024318695,0.2312999963760376,0.1647000014781952,0.0846000015735626,0.0800999999046325,0.6705999970436096,-0.46305814,5.771185,8.400477,6.6540837
