country,National Energy Development Plan,Renewable consumption target,energy consumption,Investment funds,"energy efficiency, emission reduction, fuel demand",Investment policy impact,Climate change policy,Electricity demand increase,Climate impact investment,Reducing Emissions,c1,c2,u1,u2
Latvia,0.0621999986469745,0.3140000104904175,0.090999998152256,0.0542000010609626,0.0798000022768974,0.0581000000238418,0.0659999996423721,0.0619000010192394,0.0584000013768672,0.1543000042438507,47.8879,4.124499,8.173337,-0.13595489
Italy,0.5210999846458435,0.0478999987244606,0.0750000029802322,0.0456999987363815,0.0579000003635883,0.0469000004231929,0.0472000017762184,0.064300000667572,0.0498000010848045,0.0441000014543533,20.215557,-57.726864,9.623563,1.5799868
Ireland,0.0419000014662742,0.0606000013649463,0.0560999996960163,0.0658999979496002,0.0714000016450882,0.1284999996423721,0.0527999997138977,0.4142000079154968,0.0496999993920326,0.0588999986648559,38.033627,-28.129074,9.1968155,1.0508984
Hungary,0.061099998652935,0.388700008392334,0.0882000029087066,0.0483999997377395,0.0723000019788742,0.065600000321865,0.0599999986588954,0.092299997806549,0.0494999997317791,0.0738999992609024,58.51072,4.10041,8.036526,-0.4398638
Greece,0.1307999938726425,0.0688999965786933,0.0812000036239624,0.1788000017404556,0.093199998140335,0.0829000025987625,0.1156999990344047,0.0798000022768974,0.0832000002264976,0.0856000036001205,-10.363131,1.67822,11.401066,-0.39562842
Spain,0.1316999942064285,0.1032999977469444,0.0988000035285949,0.0753000006079673,0.1071000024676323,0.0769999995827674,0.088699996471405,0.0794999971985817,0.1763000041246414,0.0621999986469745,19.698673,2.3278136,9.219212,-0.65248954
Netherlands,0.0667999982833862,0.0663999989628791,0.0712999999523162,0.0639000013470649,0.1076000034809112,0.100100003182888,0.268200010061264,0.067500002682209,0.1272999942302703,0.0610000006854534,9.076933,21.368677,9.845022,-1.4586623
Poland,0.0223999992012977,0.0211999993771314,0.7950000166893005,0.0226000007241964,0.0298999994993209,0.0181000009179115,0.0219999998807907,0.0264999996870756,0.0190999992191791,0.0232999995350837,-36.356247,-21.933285,11.740182,1.1084709
Portugal,0.0351999998092651,0.0331000015139579,0.0342999994754791,0.6819999814033508,0.0370000004768371,0.0342000015079975,0.0337999984622001,0.0364999994635582,0.0377000011503696,0.0362999998033046,-35.09698,3.037593,12.337677,0.4495392
Romania,0.2102999985218048,0.0608000010251998,0.0698999986052513,0.1564999967813491,0.0582000017166137,0.1171000003814697,0.0864000022411346,0.0841000005602836,0.0692000016570091,0.0874999985098838,-11.09699,-10.573886,11.344646,0.23375203
Sweden,0.0734999999403953,0.0719000026583671,0.0860999971628189,0.1181000024080276,0.0916000008583068,0.1343999952077865,0.1106000021100044,0.0766000002622604,0.1599999964237213,0.0772000029683113,16.639347,-9.4012575,9.457069,0.035398647
Slovenia,0.1088000014424324,0.0874999985098838,0.1167000010609626,0.0744000002741813,0.0815000012516975,0.0790999978780746,0.1746000051498413,0.065600000321865,0.1106999963521957,0.1011999994516372,3.4802094,8.584299,10.016934,-1.0231771
Slovakia,0.0843999981880188,0.0658000037074089,0.1477999985218048,0.0705000013113021,0.0754999965429306,0.2628999948501587,0.0846000015735626,0.0753000006079673,0.0555999986827373,0.0776000022888183,4.795069,-27.270115,10.2423725,0.98854053
