country,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,Energy poverty alleviation,Natural gas transmission,natural gas prices,Renewable energy sources,EU energy poverty project,New energy project,"price, increase, cost",natural gas industry,Renewable energy poverty,c1,c2,u1,u2
France,0.1315000057220459,0.0873999968171119,0.0832000002264976,0.1880999952554702,0.0914999991655349,0.1041999980807304,0.1017000004649162,0.0802000015974044,0.1324000060558319,0.1448000073432922,0.0631999969482421,0.0734999999403953,0.3476000130176544,0.0728999972343444,0.1068999990820884,0.06700000166893,0.0513999983668327,0.0727000012993812,0.0147000001743435,0.0193000007420778,0.0166999995708465,0.8808000087738037,0.0110999997705221,0.0124000003561377,0.0152000002562999,0.0208999998867511,0.0,8.489426,33.0432,15.862381,1.6448953
Malta,0.0625,0.0631999969482421,0.0562999993562698,0.1318999975919723,0.0650999993085861,0.0842000022530555,0.0632999986410141,0.0819000005722045,0.3916999995708465,0.160300001502037,0.0562000013887882,0.0570000000298023,0.0929000005125999,0.0693999975919723,0.1263999938964843,0.065200001001358,0.0588000006973743,0.3136999905109405,0.0773999989032745,0.1353999972343444,0.100100003182888,0.093199998140335,0.0766000002622604,0.0984999984502792,0.1605000048875808,0.1096000000834465,0.1486999988555908,4.115372,4.41765,16.678007,1.0335785
Luxembourg,0.18019999563694,0.0755999982357025,0.0820000022649765,0.1067999973893165,0.0930999964475631,0.0781000033020973,0.0944000035524368,0.088699996471405,0.201100006699562,0.2569999992847442,0.0509999990463256,0.0461999997496604,0.0980999991297721,0.0989999994635582,0.0855000019073486,0.0584000013768672,0.06700000166893,0.2377000004053115,0.0740000009536743,0.1562000066041946,0.0957000032067298,0.0890000015497207,0.0711999982595443,0.0789000019431114,0.1817999929189682,0.1403000056743621,0.1128999963402748,13.643829,4.4594116,15.24921,2.1907928
Lithuania,0.0817999988794326,0.0615999996662139,0.2949999868869781,0.0595000013709068,0.1228000000119209,0.1140000000596046,0.100100003182888,0.0571000017225742,0.1083000004291534,0.0986000001430511,0.0516000017523765,0.2159000039100647,0.1093999966979026,0.0505999997258186,0.3332999944686889,0.0331000015139579,0.0694999992847442,0.0379000008106231,0.0359999984502792,0.1194000020623207,0.5444999933242798,0.0461999997496604,0.0303000006824731,0.0423999987542629,0.0668999999761581,0.0797000005841255,0.0346999987959861,-17.741196,-11.907115,18.979834,0.18134727
Latvia,0.0885000005364418,0.0775000005960464,0.325899988412857,0.0925000011920929,0.0878000035881996,0.0883999988436698,0.0760999992489814,0.0754999965429306,0.0878000035881996,0.2310999929904937,0.0719999969005584,0.2329999953508377,0.0998999997973442,0.0800999999046325,0.0917000025510788,0.0548000000417232,0.0649999976158142,0.0724000036716461,0.0223999992012977,0.0260000005364418,0.8206999897956848,0.0252999998629093,0.018300000578165,0.0186000000685453,0.0255999993532896,0.0258000008761882,0.0173000004142522,-26.491177,-12.746358,19.19437,-0.14424464
Italy,0.0982000008225441,0.0381999984383583,0.0304000005125999,0.3745999932289123,0.1172000020742416,0.0542000010609626,0.0877000018954277,0.0399999991059303,0.1595000028610229,0.1650000065565109,0.0232999995350837,0.0210999995470047,0.5892999768257141,0.0559000000357627,0.067500002682209,0.0260000005364418,0.0230000000447034,0.0288999993354082,0.0405000001192092,0.1629000008106231,0.0443999990820884,0.1532000005245208,0.0549000017344951,0.048200000077486,0.2712999880313873,0.1878000050783157,0.0368999987840652,13.915116,22.885704,15.725974,2.2475069
Ireland,0.0498999990522861,0.0285000000149011,0.0247000008821487,0.0566999986767768,0.0524999983608722,0.5339000225067139,0.0518999993801116,0.0303000006824731,0.1714999973773956,0.0692000016570091,0.0218000002205371,0.0207000002264976,0.0392000004649162,0.0397999994456768,0.7214000225067139,0.0293000005185604,0.0232999995350837,0.035300001502037,0.0280000008642673,0.0370999984443187,0.0328000001609325,0.0337000004947185,0.0304000005125999,0.0381000004708766,0.7342000007629395,0.0368999987840652,0.0286999996751546,1.8373843,-26.98359,16.945028,0.5025836
Hungary,0.0784000009298324,0.0604000017046928,0.0428999997675418,0.0716999992728233,0.1632000058889389,0.1215000003576278,0.0397000014781951,0.2854000031948089,0.1367000043392181,0.093199998140335,0.0388000011444091,0.0331000015139579,0.0566000007092952,0.5187000036239624,0.0709000006318092,0.0303000006824731,0.1138999983668327,0.0445000007748603,0.0148000000044703,0.0222999993711709,0.0159000009298324,0.0172000005841255,0.0171000007539987,0.0149999996647238,0.0162000004202127,0.867900013923645,0.013600000180304,38.845913,29.636078,-3.481499,19.903326
Spain,0.1544000059366226,0.1193000003695488,0.0943000018596649,0.1296000033617019,0.1115999966859817,0.0988000035285949,0.0952000021934509,0.0653000026941299,0.1315000057220459,0.5080999732017517,0.0522000007331371,0.0533999986946582,0.101000003516674,0.0697999969124794,0.0861999988555908,0.0507000014185905,0.0322000011801719,0.0463000014424324,0.0425999984145164,0.6305000185966492,0.0882000029087066,0.0684999972581863,0.0206000003963708,0.0291000008583068,0.0603000000119209,0.0368999987840652,0.023199999704957,30.315872,-16.347418,-5.9358497,20.58202
Netherlands,0.1546999961137771,0.0460000000894069,0.0494000017642974,0.1120000034570694,0.0719999969005584,0.1206000000238418,0.2333000004291534,0.0562000013887882,0.155699998140335,0.2303999960422516,0.0472999997437,0.0538000017404556,0.0901999995112419,0.0799999982118606,0.1018999963998794,0.2425000071525573,0.0535999983549118,0.1001999974250793,0.032999999821186,0.0511000007390975,0.0592000000178813,0.0384999997913837,0.0303000006824731,0.0308999996632337,0.4595000147819519,0.2619000077247619,0.0355000011622905,21.00801,11.252939,-6.902463,20.9462
Poland,0.0518999993801116,0.0878000035881996,0.0542000010609626,0.064300000667572,0.0861999988555908,0.441100001335144,0.0621000006794929,0.0671000033617019,0.0851999968290329,0.0297999996691942,0.0397000014781951,0.0326999984681606,0.0285000000149011,0.0364000014960765,0.7645000219345093,0.0260000005364418,0.0230000000447034,0.0195000004023313,0.0243999995291233,0.244499996304512,0.0513999983668327,0.0364999994635582,0.0197999998927116,0.032600000500679,0.5034999847412109,0.0703999996185302,0.0168999992311,3.8348339,-20.480076,16.4322,0.7095888
Portugal,0.1934999972581863,0.0644999966025352,0.0520000010728836,0.1045999974012374,0.1225999966263771,0.1112999990582466,0.0549999997019767,0.0511000007390975,0.245399996638298,0.512499988079071,0.0410999990999698,0.0357999987900257,0.0621999986469745,0.1169999986886978,0.1059999987483024,0.0355000011622905,0.0309999994933605,0.0588000006973743,0.0812999978661537,0.4101999998092651,0.1063999980688095,0.1168000027537345,0.0379999987781047,0.0474999994039535,0.1080000028014183,0.0555999986827373,0.036200001835823,26.92925,-9.0016985,-6.235401,20.965935
Romania,0.0728999972343444,0.1189000010490417,0.0590999983251094,0.0601000003516674,0.2222000062465667,0.0750999972224235,0.0692000016570091,0.0531000010669231,0.2693000137805938,0.1155000030994415,0.0841000005602836,0.0303000006824731,0.0438000001013278,0.5591999888420105,0.0728000029921531,0.033500000834465,0.0310999993234872,0.0296999998390674,0.0256999991834163,0.757099986076355,0.024100000038743,0.0251000002026557,0.0416000001132488,0.0333999991416931,0.0280000008642673,0.0414999984204769,0.0234999991953372,37.881325,-29.044214,-3.951206,19.639017
Sweden,0.0614000000059604,0.0573000013828277,0.0728999972343444,0.0641999989748001,0.0724000036716461,0.0564999990165233,0.0520999990403652,0.066600002348423,0.4966000020503998,0.1075000017881393,0.0421999990940094,0.0439999997615814,0.0689999982714653,0.0763999968767166,0.0956000015139579,0.0692000016570091,0.0460000000894069,0.449999988079071,0.0452999994158744,0.095499999821186,0.1823000013828277,0.0719000026583671,0.0436000004410743,0.0515000000596046,0.2563999891281128,0.095100000500679,0.1583999991416931,-10.055105,10.973835,18.402472,0.27577728
Slovenia,0.1527999937534332,0.0566000007092952,0.0619000010192394,0.1265999972820282,0.0992999970912933,0.096900001168251,0.0560999996960163,0.2824999988079071,0.0671999976038932,0.1928000003099441,0.0834999978542327,0.0639000013470649,0.1429000049829483,0.139500007033348,0.1030000001192092,0.0738999992609024,0.1098000034689903,0.0908000022172927,0.0379000008106231,0.1042999997735023,0.0320999994874,0.0555999986827373,0.0346999987959861,0.0357000008225441,0.0340000018477439,0.6434999704360962,0.0221999995410442,37.89518,21.419424,-4.0175314,19.814026
Slovakia,0.0320999994874,0.0551999993622303,0.0309999994933605,0.0417999997735023,0.6976000070571899,0.0366999991238117,0.0272000003606081,0.0368000008165836,0.0417000018060207,0.2285999953746795,0.0467000007629394,0.0579000003635883,0.0632999986410141,0.322299987077713,0.1269000023603439,0.0456000007688999,0.0390000008046627,0.0696000009775161,0.0403999984264373,0.5964000225067139,0.0419999994337558,0.0540999993681907,0.0751999989151954,0.0467000007629394,0.049600001424551,0.0658999979496002,0.0295000001788139,47.23857,-25.695467,-4.1254015,20.37343
