country,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,"energy poverty, energy efficiency, new developments",Gas Transmission Capacity,Natural gas prices,"Grid, consumption, development",EU energy poverty,Renewable energy development,National Grid Interconnector,Natural gas production,c1,c2,u1,u2
France,0.1360999941825866,0.1061000004410743,0.1089999973773956,0.1709000021219253,0.1150999963283538,0.1213999986648559,0.1353999972343444,0.1058999970555305,0.1414999961853027,0.0841000005602836,0.0980999991297721,0.2732999920845032,0.0979000031948089,0.1342000067234039,0.0934000015258789,0.0776000022888183,0.0217000003904104,0.0251000002026557,0.0194000005722045,0.8511999845504761,0.0163000002503395,0.0208999998867511,0.0171000007539987,0.0283000003546476,-18.460102,-27.68809,-6.342547,6.8420706
Malta,0.0975999981164932,0.0859000012278556,0.1094999983906745,0.1425999999046325,0.1271000057458877,0.1365000009536743,0.1847999989986419,0.1159999966621398,0.1844999939203262,0.0742999985814094,0.0961999967694282,0.1124000027775764,0.1309999972581863,0.1712000072002411,0.1424999982118606,0.0878999978303909,0.101000003516674,0.1447000056505203,0.1225000023841857,0.1172000020742416,0.1039000004529953,0.120399996638298,0.1589999943971634,0.1312000006437301,-0.73991364,-4.096405,-3.769217,6.6389136
Luxembourg,0.1662999987602234,0.0975999981164932,0.1150999963283538,0.1255999952554702,0.1238000020384788,0.1107999980449676,0.1471000015735626,0.1137999966740608,0.250900000333786,0.0728999972343444,0.0795999988913536,0.1145000010728836,0.1435000002384185,0.119499996304512,0.1283999979496002,0.0908000022172927,0.0993999987840652,0.164000004529953,0.1206000000238418,0.1125999987125396,0.096400000154972,0.1054999977350235,0.1562999933958053,0.1451999992132187,2.9313974,9.709511,-3.253488,6.8274355
Lithuania,0.092799998819828,0.0846000015735626,0.2732999920845032,0.0839999988675117,0.125900000333786,0.1272999942302703,0.1254999935626983,0.0865999981760978,0.1180000007152557,0.0782999992370605,0.1867000013589859,0.1150999963283538,0.063799999654293,0.2861999869346618,0.0662999972701072,0.0856000036001205,0.0586000010371208,0.1959999948740005,0.3422000110149383,0.0776999965310096,0.0494999997317791,0.0714000016450882,0.0749000012874603,0.1297000050544738,35.103085,-7.3341813,12.330259,9.224292
Latvia,0.1063999980688095,0.1027000024914741,0.2563999891281128,0.1112999990582466,0.1023000031709671,0.1072999984025955,0.1110000014305114,0.1024999991059303,0.1815000027418136,0.0939999967813491,0.2037000060081482,0.1184000000357627,0.1018999963998794,0.1169999986886978,0.0917000025510788,0.0917000025510788,0.0359000004827976,0.0520000010728836,0.7149999737739563,0.0469000004231929,0.0292000006884336,0.0331000015139579,0.0335999988019466,0.0544000007212162,53.163223,-5.7577524,12.705209,8.869192
Italy,0.1384000033140182,0.0619000010192394,0.0590000003576278,0.2590000033378601,0.2211000025272369,0.0722000002861023,0.1254999935626983,0.0630000010132789,0.3149000108242035,0.0432000011205673,0.0443999990820884,0.357699990272522,0.0724000036716461,0.0722000002861023,0.0529000014066696,0.0421999990940094,0.066100001335144,0.2131000012159347,0.0741000026464462,0.1463000029325485,0.0732000023126602,0.0710999965667724,0.1657000035047531,0.1904000043869018,-6.9203906,38.25908,-4.9674077,6.446693
Ireland,0.0908999964594841,0.0456000007688999,0.0516000017523765,0.0803000032901763,0.1715999990701675,0.3714999854564667,0.134100005030632,0.0544000007212162,0.1467999964952469,0.0392999984323978,0.0410000011324882,0.0593000017106533,0.1053000018000602,0.5013999938964844,0.0648000016808509,0.0419999994337558,0.0480999983847141,0.0822999998927116,0.0599000006914138,0.06700000166893,0.049600001424551,0.0608999989926815,0.5468000173568726,0.0852999985218048,4.691039,-37.894554,-2.7257001,6.6390505
Hungary,0.0971999987959861,0.0838999971747398,0.069300003349781,0.0877000018954277,0.1816000044345855,0.1312000006437301,0.0794000029563903,0.2696999907493591,0.1301999986171722,0.0625,0.0566999986767768,0.0799999982118606,0.3903999924659729,0.0854000002145767,0.0586000010371208,0.1362999975681305,0.0233999993652105,0.0361000001430511,0.0239000003784894,0.0274999998509883,0.0241999998688697,0.023199999704957,0.0230999998748302,0.8185999989509583,-59.75488,11.507711,-8.004258,7.0949636
Spain,0.1335999965667724,0.1181000024080276,0.1298999935388565,0.1427000015974044,0.1335999965667724,0.1273999959230423,0.1198000013828277,0.0949999988079071,0.3504999876022339,0.0658999979496002,0.0903000012040138,0.1317999958992004,0.1121999993920326,0.121799997985363,0.0768000036478042,0.0507999993860721,0.0570000000298023,0.5292999744415283,0.1137999966740608,0.0979999974370002,0.0342000015079975,0.0474000014364719,0.0535000003874301,0.0666999965906143,16.642437,34.409435,11.468372,7.5495234
Netherlands,0.1535000056028366,0.0709000006318092,0.0940999984741211,0.122699998319149,0.1150999963283538,0.1404000073671341,0.1985999941825866,0.1045999974012374,0.1982000023126602,0.0734999999403953,0.0926000028848648,0.1089999973773956,0.1106000021100044,0.1173999980092048,0.2049999982118606,0.0938000008463859,0.0520000010728836,0.0891000032424926,0.0891000032424926,0.0688999965786933,0.0507000014185905,0.0562999993562698,0.1887000054121017,0.4052999913692474,-28.525578,6.5847287,-6.94865,6.866999
Poland,0.0772999972105026,0.1077999994158744,0.0848999992012977,0.0844999998807907,0.1146999970078468,0.3474999964237213,0.0966999977827072,0.0864999964833259,0.0483999997377395,0.0537000000476837,0.0421999990940094,0.0394000001251697,0.0489000007510185,0.6940000057220459,0.0386000014841556,0.034800000488758,0.045899998396635,0.4699000120162964,0.0782999992370605,0.0701000019907951,0.0340999998152256,0.1024999991059303,0.0579000003635883,0.1413999944925308,23.473904,-32.535057,11.916696,8.201295
Portugal,0.1553000062704086,0.0778999999165535,0.0988000035285949,0.1193000003695488,0.198400005698204,0.1462000012397766,0.1272999942302703,0.0768000036478042,0.3361000120639801,0.0573999993503093,0.065600000321865,0.0870999991893768,0.1772000044584274,0.1582999974489212,0.0680000036954879,0.0502999983727932,0.0790000036358833,0.3188999891281128,0.1333999931812286,0.1356000006198883,0.0571000017225742,0.0786999985575676,0.1023000031709671,0.0949999988079071,6.6515694,24.548563,-3.1347754,6.7092876
Romania,0.097300000488758,0.1317999958992004,0.0976999998092651,0.0841000005602836,0.2669000029563904,0.0997999981045723,0.1463000029325485,0.0760999992489814,0.1439999938011169,0.1218999996781349,0.0469999983906745,0.0641999989748001,0.4395000040531158,0.0798000022768974,0.0538000017404556,0.0498999990522861,0.0379000008106231,0.6863999962806702,0.0388000011444091,0.0410000011324882,0.0472999997437,0.0434999987483024,0.0439999997615814,0.061099998652935,30.952618,52.97627,11.948492,8.85754
Sweden,0.0912000015377998,0.0771000012755394,0.1789000034332275,0.0966000035405159,0.1854999959468841,0.0991000011563301,0.1789000034332275,0.092799998819828,0.1428000032901764,0.0625,0.0938000008463859,0.096900001168251,0.1570000052452087,0.1357000023126602,0.2397000044584274,0.0715999975800514,0.068800002336502,0.12219999730587,0.2206999957561493,0.0967999994754791,0.0675999969244003,0.0794000029563903,0.215499997138977,0.1289999932050705,13.257214,-4.091655,11.172383,7.367214
Slovenia,0.1366000026464462,0.0879999995231628,0.0876000002026557,0.1335999965667724,0.1211000010371208,0.1158000007271766,0.093299999833107,0.2240000069141388,0.1641000062227249,0.1077999994158744,0.094200000166893,0.1416999995708465,0.1407999992370605,0.1280000060796737,0.1111999973654747,0.1121999993920326,0.0544999986886978,0.2125999927520752,0.0456000007688999,0.0798000022768974,0.0467000007629394,0.0548000000417232,0.0498999990522861,0.4560999870300293,-43.690666,12.134184,-7.731368,6.986611
Slovakia,0.052700001746416,0.0896999984979629,0.0511000007390975,0.0641999989748001,0.5861999988555908,0.0533000007271766,0.0452000014483928,0.0575999990105629,0.2122000008821487,0.0701000019907951,0.0886000022292137,0.0881000012159347,0.2721999883651733,0.1296000033617019,0.0781000033020973,0.061099998652935,0.0575000010430812,0.5242999792098999,0.0597999989986419,0.0746000036597251,0.0747999995946884,0.0606000013649463,0.0625,0.0860000029206276,20.108423,61.541595,11.565891,7.8777986
