country,NO&T Renewable energy in Poland,NO&T Climate transition research,NO&T Climate change policy,NO&T National energy efficiency,NO&T Energy subsidies,P&M Renewable energy in Poland,P&M Climate transition research,P&M Climate change policy,P&M National energy efficiency,P&M Energy subsidies,CS&RP Renewable energy in Poland,CS&RP Climate transition research,CS&RP Climate change policy,CS&RP National energy efficiency,CS&RP Energy subsidies,c1,c2,u1,u2
France,0.0603000000119209,0.5315999984741211,0.2231000065803527,0.1333999931812286,0.0516000017523765,0.070200003683567,0.7416999936103821,0.0872000008821487,0.0590999983251094,0.0417999997735023,0.1588999927043914,0.2897000014781952,0.2236000001430511,0.1925999969244003,0.1351000070571899,12.275714,1.1697708,-0.82530576,9.555137
Malta,0.1343999952077865,0.1756000071763992,0.1580000072717666,0.4251999855041504,0.1067999973893165,0.1189000010490417,0.2275999933481216,0.1683000028133392,0.3957999944686889,0.0894000008702278,0.1128000020980835,0.1497000008821487,0.1199000030755996,0.1670999974012375,0.4505000114440918,5.7064586,1.7937165,0.3188693,3.7909095
Luxembourg,0.1609999984502792,0.2741000056266784,0.2090000063180923,0.2549999952316284,0.1009000018239021,0.0958999991416931,0.2933000028133392,0.3704999983310699,0.1803999990224838,0.0599000006914138,0.1568000018596649,0.1727000027894973,0.1662999987602234,0.2107000052928924,0.2933999896049499,9.545468,1.7782581,-0.2949312,8.777547
Lithuania,0.1762000024318695,0.2991000115871429,0.2527999877929687,0.201100006699562,0.0707999989390373,0.1278000026941299,0.2957000136375427,0.1994999945163726,0.2870000004768371,0.0900000035762786,0.1453000009059906,0.1204999983310699,0.1000000014901161,0.1404999941587448,0.493800014257431,7.435129,2.1355188,-1.633785,5.6901493
Latvia,0.1670999974012375,0.273499995470047,0.1721999943256378,0.2502999901771545,0.13680000603199,0.1301999986171722,0.451200008392334,0.1728000044822693,0.1703999936580658,0.0754000023007392,0.1608999967575073,0.2630000114440918,0.1381999999284744,0.3208999931812286,0.1169999986886978,10.626377,0.91183305,-0.34770572,9.399401
Italy,0.1352999955415725,0.1856999993324279,0.3585000038146972,0.2648999989032745,0.0555999986827373,0.0570000000298023,0.1684000045061111,0.1156999990344047,0.6136000156402588,0.0454000011086463,0.0588999986648559,0.0292000006884336,0.0310999993234872,0.6104000210762024,0.2703000009059906,10.026397,4.9863343,-0.559152,9.013743
Ireland,0.1028999984264373,0.1473000049591064,0.2369000017642974,0.419400006532669,0.0934000015258789,0.0693999975919723,0.162100002169609,0.4251999855041504,0.270900011062622,0.0724999979138374,0.0734999999403953,0.0593000017106533,0.0746999979019165,0.0571000017225742,0.7353000044822693,5.4458394,3.968528,0.76096094,3.8741207
Hungary,0.1692000031471252,0.1868000030517578,0.209999993443489,0.2845999896526336,0.149399995803833,0.1738999933004379,0.3641999959945678,0.2533000111579895,0.0971999987959861,0.1112999990582466,0.1643999963998794,0.0544999986886978,0.0625,0.0732000023126602,0.6453999876976013,7.2668047,4.2277718,-1.4646847,5.3364387
Spain,0.1115999966859817,0.1597000062465667,0.5943999886512756,0.0843999981880188,0.0498999990522861,0.0357000008225441,0.133200004696846,0.7455000281333923,0.0590999983251094,0.0265999995172023,0.1281999945640564,0.1351999938488006,0.1284999996423721,0.2378000020980835,0.3702999949455261,7.861919,-3.7271192,-1.8057504,6.705245
Netherlands,0.1049000024795532,0.09009999781847,0.6862000226974487,0.061999998986721,0.0568999983370304,0.1053000018000602,0.0509999990463256,0.7508000135421753,0.0370000004768371,0.0559000000357627,0.729200005531311,0.0309999994933605,0.0375000014901161,0.0584000013768672,0.1439000070095062,6.111373,-3.3381753,-0.33730376,3.8201082
Poland,0.3300999999046325,0.1771000027656555,0.1858000010251999,0.248099997639656,0.0588999986648559,0.5496000051498413,0.2125999927520752,0.1181999966502189,0.0772999972105026,0.0423000007867813,0.9139999747276306,0.0208999998867511,0.0178999993950128,0.017400000244379,0.0297999996691942,7.255621,-0.39081213,-2.0813565,5.5287046
Portugal,0.1155999973416328,0.2958999872207641,0.2258999943733215,0.2666000127792358,0.096000000834465,0.0772999972105026,0.364300012588501,0.2540999948978424,0.2497999966144561,0.0546000003814697,0.1222999989986419,0.0759000033140182,0.0776999965310096,0.1146000027656555,0.6096000075340271,6.967174,2.950453,-1.1198498,4.862074
Romania,0.1360000073909759,0.1747999936342239,0.1550000011920929,0.4501000046730041,0.0841000005602836,0.1379999965429306,0.3612000048160553,0.1981000006198883,0.2187999933958053,0.0839999988675117,0.1595000028610229,0.2302999943494796,0.1526000052690506,0.1618999987840652,0.2957000136375427,9.21315,0.721534,-1.1749814,8.593579
Sweden,0.1351999938488006,0.2067999988794326,0.2124000042676925,0.3341000080108642,0.1114000007510185,0.0635000020265579,0.3169000148773193,0.4670999944210052,0.0961999967694282,0.0562999993562698,0.1112999990582466,0.1589999943971634,0.2196000069379806,0.0821999981999397,0.4280000030994415,9.467355,2.715116,-0.68071496,8.488219
Slovenia,0.1331000030040741,0.3199999928474426,0.2326000034809112,0.2442999929189682,0.0700000002980232,0.1024999991059303,0.3134999871253967,0.2443999946117401,0.2621999979019165,0.0773999989032745,0.3021999895572662,0.1058000028133392,0.065600000321865,0.1269000023603439,0.3995000123977661,7.7688055,1.1827528,-2.0145702,5.8314037
Slovakia,0.210899993777275,0.1644999980926513,0.1032999977469444,0.3032000064849853,0.2180999964475631,0.2046999931335449,0.2633000016212463,0.1579000055789947,0.2408999949693679,0.133200004696846,0.05180000141263,0.0324999988079071,0.0300999991595745,0.0324000008404254,0.8531000018119812,5.5407104,5.46777,0.89391994,4.281344
